Concept,Country,Data Source,Frequency,Status,Time,Unit,Value
"Social Assistance Benefits, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.83
"Employer Social Benefits, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.25
"Total Expenditure, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,20.36
"Interest, Cash (Gen. Govt.)",Australia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,6451000000.00
"Compensation of Employees, Cash (Gen. Govt.)",Australia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,160472000000.00
"Grants, Cash (Gen. Govt.)",Australia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,32643000000.00
"Social Benefits, Cash (Gen. Govt.)",Australia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,76573000000.00
"Interest, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,273000000.00
"Compensation of Employees, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,828500000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,25300000.00
"Grants, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,13100000.00
"Social Benefits, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,314800000.00
"Other Expense, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,173500000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,304500000.00
"Social Security Benefits, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,256900000.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,57890000.00
"Employer Social Benefits, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,173500000.00
"Total Expenditure, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,2258490000.00
"Interest, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,4.42
"Compensation of Employees, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,13.41
"Subsidies and Transfers, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.41
"Grants, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.21
"Social Benefits, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,5.10
"Other Expense, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,2.81
"Use of Goods and Services, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,4.93
"Social Security Benefits, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,4.16
"Social Assistance Benefits, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.94
"Employer Social Benefits, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,2.81
"Total Expenditure, Cash (Gen. Govt.)",Barbados,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,36.56
"Interest, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,243300000000.00
"Compensation of Employees, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,5151830000000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,2493410000000.00
"Grants, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,124454000000.00
"Social Benefits, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,6431170000000.00
"Other Expense, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,825051000000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,5244500000000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,27614000000.00
"Social Security Benefits, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,5773890000000.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,657277000000.00
"Employer Social Benefits, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,825051000000.00
"Total Expenditure, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,23457500000000.00
"Interest, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.49
"Compensation of Employees, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,10.31
"Subsidies and Transfers, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,4.99
"Grants, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.25
"Social Benefits, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,12.86
"Other Expense, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.65
"Use of Goods and Services, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,10.49
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.06
"Social Security Benefits, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,11.55
"Social Assistance Benefits, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.31
"Employer Social Benefits, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.65
"Total Expenditure, Cash (Gen. Govt.)",Belarus,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,46.92
"Interest, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,220264000.00
"Compensation of Employees, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,2086774000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,114301000.00
"Grants, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,61674000.00
"Social Benefits, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,279567000.00
"Other Expense, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,260024000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,2386645000.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,260024000.00
"Total Expenditure, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,9728739000.00
"Interest, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.71
"Compensation of Employees, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,6.70
"Subsidies and Transfers, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.37
"Grants, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.20
"Social Benefits, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.90
"Other Expense, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.83
"Use of Goods and Services, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,7.66
"Property Expense Other than Interest, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.83
"Total Expenditure, Cash (Gen. Govt.)",Bhutan,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,31.22
"Interest, Cash (Gen. Govt.)",Bolivia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,1885500000.00
"Compensation of Employees, Cash (Gen. Govt.)",Bolivia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,8004200000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Bolivia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,127700000.00
"Grants, Cash (Gen. Govt.)",Bolivia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,263300000.00
"Social Benefits, Cash (Gen. Govt.)",Bolivia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,3177300000.00
"Other Expense, Cash (Gen. Govt.)",Bolivia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,399000000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Bolivia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,4079700000.00
"Interest, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,697207000.00
"Compensation of Employees, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,2574712000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,868076000.00
"Grants, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Social Benefits, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,5541968000.00
"Other Expense, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,399454000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,3830009000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,516722000.00
"Social Security Benefits, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,4601088000.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,559233000.00
"Employer Social Benefits, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,381647000.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,399454000.00
"Total Expenditure, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,15005463000.00
"Interest, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.75
"Compensation of Employees, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,6.47
"Subsidies and Transfers, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,2.18
"Grants, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Social Benefits, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,13.92
"Other Expense, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.00
"Use of Goods and Services, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,9.62
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.30
"Social Security Benefits, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,11.55
"Social Assistance Benefits, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.40
"Employer Social Benefits, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.96
"Property Expense Other than Interest, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.00
"Total Expenditure, Cash (Gen. Govt.)",Bulgaria,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,37.68
"Interest, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,45505796513.00
"Compensation of Employees, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,169233000000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,16706757384.00
"Grants, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,3328058727.00
"Social Benefits, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,117353000000.00
"Other Expense, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,38559907056.00
"Use of Goods and Services, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,95292785526.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,633800000.00
"Social Security Benefits, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,65020900074.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,42274355702.00
"Employer Social Benefits, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,10057474000.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,10773665000.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,27786242056.00
"Total Expenditure, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,515367000000.00
"Interest, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,3.47
"Compensation of Employees, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,12.91
"Subsidies and Transfers, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.27
"Grants, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.25
"Social Benefits, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,8.95
"Other Expense, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,2.94
"Use of Goods and Services, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,7.27
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.05
"Social Security Benefits, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,4.96
"Social Assistance Benefits, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,3.22
"Employer Social Benefits, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.77
"Property Expense Other than Interest, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.82
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,2.12
"Total Expenditure, Cash (Gen. Govt.)",Canada,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,39.31
"Interest, Cash (Gen. Govt.)",Chile,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,257600000000.00
"Compensation of Employees, Cash (Gen. Govt.)",Chile,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,3097910000000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Chile,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,2599940000000.00
"Grants, Cash (Gen. Govt.)",Chile,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,47410000000.00
"Social Benefits, Cash (Gen. Govt.)",Chile,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,2825480000000.00
"Other Expense, Cash (Gen. Govt.)",Chile,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,871650000000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Chile,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,1414450000000.00
"Interest, Cash (Gen. Govt.)","China, P.R.: Hong Kong",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,586000000.00
"Compensation of Employees, Cash (Gen. Govt.)","China, P.R.: Hong Kong",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,64051000000.00
"Subsidies and Transfers, Cash (Gen. Govt.)","China, P.R.: Hong Kong",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,333000000.00
"Grants, Cash (Gen. Govt.)","China, P.R.: Hong Kong",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,73000000.00
"Social Benefits, Cash (Gen. Govt.)","China, P.R.: Hong Kong",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,61214000000.00
"Other Expense, Cash (Gen. Govt.)","China, P.R.: Hong Kong",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,50004000000.00
"Use of Goods and Services, Cash (Gen. Govt.)","China, P.R.: Hong Kong",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,48747000000.00
"Interest, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Compensation of Employees, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,5030247919.00
"Subsidies and Transfers, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,434237082.40
"Grants, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,5636541.10
"Social Benefits, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,1050505984.00
"Other Expense, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,1528987108.00
"Use of Goods and Services, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,2070557401.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Social Security Benefits, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,453017643.90
"Social Assistance Benefits, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,532561660.70
"Employer Social Benefits, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,64926679.00
"Property Expense Other than Interest, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,495897977.90
"Miscellaneous Other Expense, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,1033089130.00
"Total Expenditure, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,National Currency,13590692758.00
"Interest, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Compensation of Employees, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,6.06
"Subsidies and Transfers, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.52
"Grants, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.01
"Social Benefits, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.27
"Other Expense, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.84
"Use of Goods and Services, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,2.50
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Social Security Benefits, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.55
"Social Assistance Benefits, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.64
"Employer Social Benefits, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.08
"Property Expense Other than Interest, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.60
"Miscellaneous Other Expense, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.25
"Total Expenditure, Cash (Gen. Govt.)","China, P.R.: Macao",Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,16.38
