Concept,Country,Data Source,Frequency,Status,Time,Unit,Value
"Interest, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2007,National Currency,25594393650.04
"Social Benefits, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2007,National Currency,14360056060.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2007,National Currency,3631494100.00
"Total expenditure, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2007,National Currency,285594424920.59
"Use of Goods and Services, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2007,National Currency,29098309898.23
"Compensation of Employees, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2008,National Currency,76666731876.80
"Expense, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2008,National Currency,248272970314.46
"Gross Domestic Product, Nominal",Albania,International Financial Statistics (IFS),Annual,Published,2008,National Currency,1089293128925.51
"Interest, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2008,National Currency,31340448826.19
"Social Benefits, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2008,National Currency,16749619970.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2008,National Currency,2637939230.00
"Total expenditure, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2008,National Currency,351444577067.76
"Use of Goods and Services, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2008,National Currency,32900291828.39
"Compensation of Employees, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,62360000000.00
"Expense, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,281900000000.00
"Grants, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,0.00
"Gross Domestic Product, Nominal",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,1151019626825.09
"Interest, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,36302000000.00
"Other Expense, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,33581000000.00
"Social Benefits, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,115855000000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,2004000000.00
"Total expenditure, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,379519000000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2009,National Currency,31798000000.00
"Gross Domestic Product, Nominal",Algeria,International Financial Statistics (IFS),Annual,Published,2003,National Currency,5252321100000.00
"Gross Domestic Product, Nominal",Algeria,International Financial Statistics (IFS),Annual,Published,2004,National Currency,6149116700000.00
"Gross Domestic Product, Nominal",Algeria,International Financial Statistics (IFS),Annual,Published,2005,National Currency,7561984400000.00
"Gross Domestic Product, Nominal",Algeria,International Financial Statistics (IFS),Annual,Published,2006,National Currency,8514838800000.00
"Gross Domestic Product, Nominal",Algeria,International Financial Statistics (IFS),Annual,Published,2007,National Currency,9366562100000.00
"Gross Domestic Product, Nominal",Algeria,International Financial Statistics (IFS),Annual,Published,2008,National Currency,11090022000000.00
"Gross Domestic Product, Nominal",Algeria,International Financial Statistics (IFS),Annual,Published,2009,National Currency,10034255000000.00
"Gross Domestic Product, Deflator",Angola,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",50.13
"Gross Domestic Product, Deflator",Angola,International Financial Statistics (IFS),Annual,Published,2003,Percent Change over Corresponding Period of Previous Year,102.33
"Gross Domestic Product, Nominal",Angola,International Financial Statistics (IFS),Annual,Published,2003,National Currency,1041225539603.72
"Gross Domestic Product, Real",Angola,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",77.80
"Gross Domestic Product, Real",Angola,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 1992 prices,5066600.00
"Gross Domestic Product, Real",Angola,International Financial Statistics (IFS),Annual,Published,2003,Percent,3.42
"Gross Domestic Product, Deflator",Angola,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",71.59
"Gross Domestic Product, Deflator",Angola,International Financial Statistics (IFS),Annual,Published,2004,Percent Change over Corresponding Period of Previous Year,42.81
"Gross Domestic Product, Nominal",Angola,International Financial Statistics (IFS),Annual,Published,2004,National Currency,1652049477057.53
"Gross Domestic Product, Real",Angola,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",86.43
"Gross Domestic Product, Real",Angola,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 1992 prices,5628992.60
"Gross Domestic Product, Real",Angola,International Financial Statistics (IFS),Annual,Published,2004,Percent,11.10
"Gross Domestic Product, Deflator",Angola,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Deflator",Angola,International Financial Statistics (IFS),Annual,Published,2005,Percent Change over Corresponding Period of Previous Year,39.68
"Gross Domestic Product, Nominal",Angola,International Financial Statistics (IFS),Annual,Published,2005,National Currency,2669889360240.54
"Gross Domestic Product, Real",Angola,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Real",Angola,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 1992 prices,6512744.44
"Gross Domestic Product, Real",Angola,International Financial Statistics (IFS),Annual,Published,2005,Percent,15.70
"Gross Domestic Product, Nominal",Angola,International Financial Statistics (IFS),Annual,Published,2006,National Currency,3629683775176.73
"Gross Domestic Product, Nominal",Angola,International Financial Statistics (IFS),Annual,Published,2007,National Currency,4545860000000.00
"Gross Domestic Product, Nominal",Angola,International Financial Statistics (IFS),Annual,Published,2008,National Currency,6373700000000.00
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",95.69
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2003,Percent Change over Corresponding Period of Previous Year,4.59
"Gross Domestic Product, Nominal",Anguilla,International Financial Statistics (IFS),Annual,Published,2003,National Currency,462550000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",77.56
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 1990 prices,190150000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2003,Percent,2.85
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",97.30
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2004,Percent Change over Corresponding Period of Previous Year,1.68
"Gross Domestic Product, Nominal",Anguilla,International Financial Statistics (IFS),Annual,Published,2004,National Currency,547580000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",90.30
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 1990 prices,221390000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2004,Percent,16.43
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2005,Percent Change over Corresponding Period of Previous Year,2.78
"Gross Domestic Product, Nominal",Anguilla,International Financial Statistics (IFS),Annual,Published,2005,National Currency,623230000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 1990 prices,245170000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2005,Percent,10.74
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",107.47
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2006,Percent Change over Corresponding Period of Previous Year,7.47
"Gross Domestic Product, Nominal",Anguilla,International Financial Statistics (IFS),Annual,Published,2006,National Currency,773680000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",115.52
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2006,National Currency at 1990 prices,294560000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2006,Percent,15.52
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",114.46
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2007,Percent Change over Corresponding Period of Previous Year,6.51
"Gross Domestic Product, Nominal",Anguilla,International Financial Statistics (IFS),Annual,Published,2007,National Currency,966200000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",135.44
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2007,National Currency at 1990 prices,366620000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2007,Percent,17.25
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",114.74
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2008,Percent Change over Corresponding Period of Previous Year,0.24
"Gross Domestic Product, Nominal",Anguilla,International Financial Statistics (IFS),Annual,Published,2008,National Currency,965510000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",135.02
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2008,National Currency at 1990 prices,382990000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2008,Percent,-0.31
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",113.60
"Gross Domestic Product, Deflator",Anguilla,International Financial Statistics (IFS),Annual,Published,2009,Percent Change over Corresponding Period of Previous Year,-0.99
"Gross Domestic Product, Nominal",Anguilla,International Financial Statistics (IFS),Annual,Published,2009,National Currency,797950000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",112.70
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2009,National Currency at 1990 prices,289560000.00
"Gross Domestic Product, Real",Anguilla,International Financial Statistics (IFS),Annual,Published,2009,Percent,-16.53
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",93.80
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2003,Percent Change over Corresponding Period of Previous Year,0.95
"Gross Domestic Product, Nominal",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2003,National Currency,2292930000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",90.36
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 1990 prices,1350360000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2003,Percent,4.31
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",94.86
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2004,Percent Change over Corresponding Period of Previous Year,1.14
"Gross Domestic Product, Nominal",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2004,National Currency,2443800000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",95.22
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 1990 prices,1423000000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2004,Percent,5.38
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2005,Percent Change over Corresponding Period of Previous Year,5.41
"Gross Domestic Product, Nominal",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2005,National Currency,2705330000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 1990 prices,1494380000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2005,Percent,5.02
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",100.92
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2006,Percent Change over Corresponding Period of Previous Year,0.92
"Gross Domestic Product, Nominal",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2006,National Currency,3081820000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",112.88
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2006,National Currency at 1990 prices,1686870000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2006,Percent,12.88
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",107.58
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2007,Percent Change over Corresponding Period of Previous Year,6.60
"Gross Domestic Product, Nominal",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2007,National Currency,3498650000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",120.22
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2007,National Currency at 1990 prices,1796470000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2007,Percent,6.50
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",110.52
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2008,Percent Change over Corresponding Period of Previous Year,2.74
"Gross Domestic Product, Nominal",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2008,National Currency,3657410000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",122.32
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2008,National Currency at 1990 prices,1827940000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2008,Percent,1.75
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",108.74
"Gross Domestic Product, Deflator",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2009,Percent Change over Corresponding Period of Previous Year,-1.61
"Gross Domestic Product, Nominal",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2009,National Currency,3278570000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",111.45
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2009,National Currency at 1990 prices,1665430000.00
"Gross Domestic Product, Real",Antigua and Barbuda,International Financial Statistics (IFS),Annual,Published,2009,Percent,-8.89
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",84.12
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2003,Percent Change over Corresponding Period of Previous Year,10.50
"Gross Domestic Product, Nominal",Argentina,International Financial Statistics (IFS),Annual,Published,2003,National Currency,375909361396.65
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",84.01
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 1993 prices,256023462375.14
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2003,Percent,8.84
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",91.88
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2004,Percent Change over Corresponding Period of Previous Year,9.22
"Gross Domestic Product, Nominal",Argentina,International Financial Statistics (IFS),Annual,Published,2004,National Currency,447643425641.84
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",91.59
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 1993 prices,279141288631.72
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2004,Percent,9.03
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2005,Percent Change over Corresponding Period of Previous Year,8.84
"Gross Domestic Product, Nominal",Argentina,International Financial Statistics (IFS),Annual,Published,2005,National Currency,531938722296.41
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 1993 prices,304763528550.30
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2005,Percent,9.18
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",113.43
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2006,Percent Change over Corresponding Period of Previous Year,13.43
"Gross Domestic Product, Nominal",Argentina,International Financial Statistics (IFS),Annual,Published,2006,National Currency,654438985248.65
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",108.47
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2006,National Currency at 1993 prices,330564970472.23
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2006,Percent,8.47
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",129.59
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2007,Percent Change over Corresponding Period of Previous Year,14.25
"Gross Domestic Product, Nominal",Argentina,International Financial Statistics (IFS),Annual,Published,2007,National Currency,812455828265.13
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",117.86
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2007,National Currency at 1993 prices,359189392399.17
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2007,Percent,8.66
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",154.82
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2008,Percent Change over Corresponding Period of Previous Year,19.47
"Gross Domestic Product, Nominal",Argentina,International Financial Statistics (IFS),Annual,Published,2008,National Currency,1038187792010.99
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",126.07
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2008,National Currency at 1993 prices,384200807158.96
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2008,Percent,6.96
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",169.71
"Gross Domestic Product, Deflator",Argentina,International Financial Statistics (IFS),Annual,Published,2009,Percent Change over Corresponding Period of Previous Year,9.62
"Gross Domestic Product, Nominal",Argentina,International Financial Statistics (IFS),Annual,Published,2009,National Currency,1145458250000.00
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",126.89
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2009,National Currency at 1993 prices,386704250000.00
"Gross Domestic Product, Real",Argentina,International Financial Statistics (IFS),Annual,Published,2009,Percent,0.65
"Gross Domestic Product, Nominal",Armenia,International Financial Statistics (IFS),Annual,Published,2003,National Currency,1624642700000.00
"Gross Domestic Product, Nominal",Armenia,International Financial Statistics (IFS),Annual,Published,2004,National Currency,1907945400000.00
"Gross Domestic Product, Nominal",Armenia,International Financial Statistics (IFS),Annual,Published,2005,National Currency,2242880900000.00
"Gross Domestic Product, Nominal",Armenia,International Financial Statistics (IFS),Annual,Published,2006,National Currency,2656189800000.00
"Gross Domestic Product, Nominal",Armenia,International Financial Statistics (IFS),Annual,Published,2007,National Currency,3149283400000.00
"Gross Domestic Product, Nominal",Armenia,International Financial Statistics (IFS),Annual,Published,2008,National Currency,3568227600000.00
"Gross Domestic Product, Nominal",Armenia,International Financial Statistics (IFS),Annual,Published,2009,National Currency,3141651000000.00
"Gross Domestic Product, Deflator",Aruba,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",94.36
"Gross Domestic Product, Deflator",Aruba,International Financial Statistics (IFS),Annual,Published,2003,Percent Change over Corresponding Period of Previous Year,3.66
"Gross Domestic Product, Nominal",Aruba,International Financial Statistics (IFS),Annual,Published,2003,National Currency,3618140000.00
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",91.90
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 1995 prices,2848000000.00
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2003,Percent,0.46
"Gross Domestic Product, Deflator",Aruba,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",96.72
"Gross Domestic Product, Deflator",Aruba,International Financial Statistics (IFS),Annual,Published,2004,Percent Change over Corresponding Period of Previous Year,2.50
"Gross Domestic Product, Nominal",Aruba,International Financial Statistics (IFS),Annual,Published,2004,National Currency,3988610000.00
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",98.84
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 1995 prices,3063000000.00
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2004,Percent,7.55
"Gross Domestic Product, Deflator",Aruba,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Deflator",Aruba,International Financial Statistics (IFS),Annual,Published,2005,Percent Change over Corresponding Period of Previous Year,3.40
"Gross Domestic Product, Nominal",Aruba,International Financial Statistics (IFS),Annual,Published,2005,National Currency,4172500000.00
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 1995 prices,3099000000.00
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2005,Percent,1.18
"Gross Domestic Product, Deflator",Aruba,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",103.64
"Gross Domestic Product, Deflator",Aruba,International Financial Statistics (IFS),Annual,Published,2006,Percent Change over Corresponding Period of Previous Year,3.64
"Gross Domestic Product, Nominal",Aruba,International Financial Statistics (IFS),Annual,Published,2006,National Currency,4339720000.00
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",100.35
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2006,National Currency at 1995 prices,3110000000.00
"Gross Domestic Product, Real",Aruba,International Financial Statistics (IFS),Annual,Published,2006,Percent,0.35
